CIUDAD,PAIS,DIA,TEMPERATURAS,PRECIPITACIONES,PRESION
VALLADOLID,ESPAÑA,2016-01-03,6,33,BAJA
ZARAGOZA,ESPAÑA,2016-01-03,6,0,BAJA
BILBAO,ESPAÑA,2016-01-03,3,28,BAJA
BARCELONA,ESPAÑA,2016-01-03,11,13,BAJA
GRANADA,ESPAÑA,2016-01-03,0,23,BAJA
CASABLANCA,MARRUECOS,2016-01-03,0,3,BAJA
OPORTO,PORTUGAL,2016-01-04,3,26,BAJA
LISBOA,PORTUGAL,2016-01-04,10,24,BAJA
VILA DO CORVO,PORTUGAL,2016-01-04,2,9,BAJA
IBIZA,ESPAÑA,2016-01-04,2,9,BAJA
MADRID,ESPAÑA,2016-01-04,5,7,BAJA
PAMPLONA,ESPAÑA,2016-01-04,7,9,BAJA
MURCIA,ESPAÑA,2016-01-04,11,37,BAJA
SEVILLA,ESPAÑA,2016-01-04,0,1,BAJA
TENERIFE,ESPAÑA,2016-01-04,7,3,BAJA
TENERIFE,ESPAÑA,2016-01-04,14,17,BAJA
VIGO,ESPAÑA,2016-01-04,9,23,BAJA
VALLADOLID,ESPAÑA,2016-01-04,0,4,BAJA
ZARAGOZA,ESPAÑA,2016-01-04,10,25,BAJA
BILBAO,ESPAÑA,2016-01-04,3,32,BAJA
BARCELONA,ESPAÑA,2016-01-04,13,3,BAJA
GRANADA,ESPAÑA,2016-01-04,4,20,BAJA
CASABLANCA,MARRUECOS,2016-01-04,2,34,BAJA
OPORTO,PORTUGAL,2016-01-05,11,21,BAJA
LISBOA,PORTUGAL,2016-01-05,7,18,BAJA
VILA DO CORVO,PORTUGAL,2016-01-05,2,24,BAJA
IBIZA,ESPAÑA,2016-01-05,13,32,BAJA
MADRID,ESPAÑA,2016-01-05,14,6,BAJA
PAMPLONA,ESPAÑA,2016-01-05,10,32,BAJA
MURCIA,ESPAÑA,2016-01-05,7,13,BAJA
SEVILLA,ESPAÑA,2016-01-05,2,38,BAJA
TENERIFE,ESPAÑA,2016-01-05,8,0,BAJA
TENERIFE,ESPAÑA,2016-01-05,4,35,BAJA
VIGO,ESPAÑA,2016-01-05,10,7,BAJA
VALLADOLID,ESPAÑA,2016-01-05,1,13,BAJA
ZARAGOZA,ESPAÑA,2016-01-05,6,37,BAJA
BILBAO,ESPAÑA,2016-01-05,1,29,BAJA
BARCELONA,ESPAÑA,2016-01-05,1,37,BAJA
GRANADA,ESPAÑA,2016-01-05,7,22,BAJA
CASABLANCA,MARRUECOS,2016-01-05,14,31,BAJA
OPORTO,PORTUGAL,2016-01-06,12,33,BAJA
LISBOA,PORTUGAL,2016-01-06,14,12,BAJA
VILA DO CORVO,PORTUGAL,2016-01-06,8,34,BAJA
IBIZA,ESPAÑA,2016-01-06,12,35,BAJA
MADRID,ESPAÑA,2016-01-06,14,13,BAJA
PAMPLONA,ESPAÑA,2016-01-06,2,30,BAJA
MURCIA,ESPAÑA,2016-01-06,4,19,BAJA
SEVILLA,ESPAÑA,2016-01-06,9,16,BAJA
TENERIFE,ESPAÑA,2016-01-06,8,37,BAJA
TENERIFE,ESPAÑA,2016-01-06,13,27,BAJA
VIGO,ESPAÑA,2016-01-06,5,26,BAJA
VALLADOLID,ESPAÑA,2016-01-06,3,18,BAJA
ZARAGOZA,ESPAÑA,2016-01-06,12,25,BAJA
BILBAO,ESPAÑA,2016-01-06,12,29,BAJA
BARCELONA,ESPAÑA,2016-01-06,12,36,BAJA
GRANADA,ESPAÑA,2016-01-06,5,35,BAJA
CASABLANCA,MARRUECOS,2016-01-06,7,0,BAJA
OPORTO,PORTUGAL,2016-01-07,5,27,BAJA
LISBOA,PORTUGAL,2016-01-07,13,3,BAJA
VILA DO CORVO,PORTUGAL,2016-01-07,7,36,BAJA
IBIZA,ESPAÑA,2016-01-07,14,28,BAJA
MADRID,ESPAÑA,2016-01-07,3,23,BAJA
PAMPLONA,ESPAÑA,2016-01-07,0,37,BAJA
MURCIA,ESPAÑA,2016-01-07,0,2,BAJA
SEVILLA,ESPAÑA,2016-01-07,10,15,BAJA
TENERIFE,ESPAÑA,2016-01-07,3,4,BAJA
TENERIFE,ESPAÑA,2016-01-07,2,9,BAJA
VIGO,ESPAÑA,2016-01-07,6,7,BAJA
VALLADOLID,ESPAÑA,2016-01-07,8,31,BAJA
ZARAGOZA,ESPAÑA,2016-01-07,8,15,BAJA
BILBAO,ESPAÑA,2016-01-07,3,12,BAJA
BARCELONA,ESPAÑA,2016-01-07,13,30,BAJA
GRANADA,ESPAÑA,2016-01-07,5,13,BAJA
CASABLANCA,MARRUECOS,2016-01-07,13,39,BAJA
OPORTO,PORTUGAL,2016-01-08,7,3,BAJA
LISBOA,PORTUGAL,2016-01-08,11,24,BAJA
VILA DO CORVO,PORTUGAL,2016-01-08,1,38,BAJA
IBIZA,ESPAÑA,2016-01-08,7,3,BAJA
MADRID,ESPAÑA,2016-01-08,3,17,BAJA
PAMPLONA,ESPAÑA,2016-01-08,11,7,BAJA
MURCIA,ESPAÑA,2016-01-08,4,14,BAJA
SEVILLA,ESPAÑA,2016-01-08,2,10,BAJA
TENERIFE,ESPAÑA,2016-01-08,13,7,BAJA
TENERIFE,ESPAÑA,2016-01-08,7,1,BAJA
VIGO,ESPAÑA,2016-01-08,2,5,BAJA
VALLADOLID,ESPAÑA,2016-01-08,1,3,BAJA
ZARAGOZA,ESPAÑA,2016-01-08,1,26,BAJA
BILBAO,ESPAÑA,2016-01-08,0,38,BAJA
BARCELONA,ESPAÑA,2016-01-08,6,5,BAJA
GRANADA,ESPAÑA,2016-01-08,13,6,BAJA
CASABLANCA,MARRUECOS,2016-01-08,0,12,BAJA
OPORTO,PORTUGAL,2016-01-09,7,28,BAJA
LISBOA,PORTUGAL,2016-01-09,0,33,BAJA
VILA DO CORVO,PORTUGAL,2016-01-09,5,16,BAJA
IBIZA,ESPAÑA,2016-01-09,0,10,BAJA
MADRID,ESPAÑA,2016-01-09,4,32,BAJA
PAMPLONA,ESPAÑA,2016-01-09,2,8,BAJA
MURCIA,ESPAÑA,2016-01-09,9,1,BAJA
SEVILLA,ESPAÑA,2016-01-09,4,12,BAJA
TENERIFE,ESPAÑA,2016-01-09,9,38,BAJA
TENERIFE,ESPAÑA,2016-01-09,11,34,BAJA
VIGO,ESPAÑA,2016-01-09,8,23,BAJA
VALLADOLID,ESPAÑA,2016-01-09,9,31,BAJA
ZARAGOZA,ESPAÑA,2016-01-09,10,0,BAJA
BILBAO,ESPAÑA,2016-01-09,14,30,BAJA
BARCELONA,ESPAÑA,2016-01-09,1,4,BAJA
GRANADA,ESPAÑA,2016-01-09,1,4,BAJA
CASABLANCA,MARRUECOS,2016-01-09,6,23,BAJA
OPORTO,PORTUGAL,2016-01-10,12,12,BAJA
LISBOA,PORTUGAL,2016-01-10,7,0,BAJA
VILA DO CORVO,PORTUGAL,2016-01-10,10,33,BAJA
IBIZA,ESPAÑA,2016-01-10,3,16,BAJA
MADRID,ESPAÑA,2016-01-10,12,25,BAJA
PAMPLONA,ESPAÑA,2016-01-10,7,15,BAJA
MURCIA,ESPAÑA,2016-01-10,9,12,BAJA
SEVILLA,ESPAÑA,2016-01-10,9,3,BAJA
TENERIFE,ESPAÑA,2016-01-10,4,29,BAJA
TENERIFE,ESPAÑA,2016-01-10,3,33,BAJA
VIGO,ESPAÑA,2016-01-10,1,26,BAJA
VALLADOLID,ESPAÑA,2016-01-10,12,9,BAJA
ZARAGOZA,ESPAÑA,2016-01-10,10,3,BAJA
BILBAO,ESPAÑA,2016-01-10,13,22,BAJA
BARCELONA,ESPAÑA,2016-01-10,12,17,BAJA
GRANADA,ESPAÑA,2016-01-10,1,26,BAJA
CASABLANCA,MARRUECOS,2016-01-10,13,7,BAJA
OPORTO,PORTUGAL,2016-01-11,1,98,MUY BAJA
LISBOA,PORTUGAL,2016-01-11,0,64,MUY BAJA
VILA DO CORVO,PORTUGAL,2016-01-11,8,87,MUY BAJA
IBIZA,ESPAÑA,2016-01-11,13,50,MUY BAJA
MADRID,ESPAÑA,2016-01-11,6,64,MUY BAJA
PAMPLONA,ESPAÑA,2016-01-11,11,58,MUY BAJA
MURCIA,ESPAÑA,2016-01-11,12,84,MUY BAJA
SEVILLA,ESPAÑA,2016-01-11,1,81,MUY BAJA
TENERIFE,ESPAÑA,2016-01-11,0,87,MUY BAJA
TENERIFE,ESPAÑA,2016-01-11,11,70,MUY BAJA
VIGO,ESPAÑA,2016-01-11,5,62,MUY BAJA
VALLADOLID,ESPAÑA,2016-01-11,8,74,MUY BAJA
ZARAGOZA,ESPAÑA,2016-01-11,5,51,MUY BAJA
BILBAO,ESPAÑA,2016-01-11,1,92,MUY BAJA
BARCELONA,ESPAÑA,2016-01-11,7,78,MUY BAJA
GRANADA,ESPAÑA,2016-01-11,2,88,MUY BAJA
CASABLANCA,MARRUECOS,2016-01-11,4,72,MUY BAJA
OPORTO,PORTUGAL,2016-01-12,10,6,BAJA
LISBOA,PORTUGAL,2016-01-12,7,36,BAJA
VILA DO CORVO,PORTUGAL,2016-01-12,14,37,BAJA
IBIZA,ESPAÑA,2016-01-12,0,29,BAJA
MADRID,ESPAÑA,2016-01-12,5,24,BAJA
PAMPLONA,ESPAÑA,2016-01-12,3,24,BAJA
MURCIA,ESPAÑA,2016-01-12,2,35,BAJA
SEVILLA,ESPAÑA,2016-01-12,7,29,BAJA
TENERIFE,ESPAÑA,2016-01-12,2,29,BAJA
TENERIFE,ESPAÑA,2016-01-12,0,7,BAJA
VIGO,ESPAÑA,2016-01-12,7,10,BAJA
VALLADOLID,ESPAÑA,2016-01-12,2,31,BAJA
ZARAGOZA,ESPAÑA,2016-01-12,4,14,BAJA
BILBAO,ESPAÑA,2016-01-12,4,3,BAJA
BARCELONA,ESPAÑA,2016-01-12,13,29,BAJA
GRANADA,ESPAÑA,2016-01-12,6,20,BAJA
CASABLANCA,MARRUECOS,2016-01-12,10,20,BAJA
OPORTO,PORTUGAL,2016-01-13,7,39,BAJA
LISBOA,PORTUGAL,2016-01-13,2,21,BAJA
VILA DO CORVO,PORTUGAL,2016-01-13,6,19,BAJA
IBIZA,ESPAÑA,2016-01-13,9,37,BAJA
MADRID,ESPAÑA,2016-01-13,11,33,BAJA
PAMPLONA,ESPAÑA,2016-01-13,1,38,BAJA
MURCIA,ESPAÑA,2016-01-13,5,3,BAJA
SEVILLA,ESPAÑA,2016-01-13,12,13,BAJA
TENERIFE,ESPAÑA,2016-01-13,13,0,BAJA
TENERIFE,ESPAÑA,2016-01-13,11,5,BAJA
VIGO,ESPAÑA,2016-01-13,4,1,BAJA
VALLADOLID,ESPAÑA,2016-01-13,8,33,BAJA
ZARAGOZA,ESPAÑA,2016-01-13,10,3,BAJA
BILBAO,ESPAÑA,2016-01-13,9,24,BAJA
BARCELONA,ESPAÑA,2016-01-13,10,20,BAJA
GRANADA,ESPAÑA,2016-01-13,13,2,BAJA
CASABLANCA,MARRUECOS,2016-01-13,13,2,BAJA
OPORTO,PORTUGAL,2016-01-14,4,33,BAJA
LISBOA,PORTUGAL,2016-01-14,12,11,BAJA
VILA DO CORVO,PORTUGAL,2016-01-14,12,25,BAJA
IBIZA,ESPAÑA,2016-01-14,1,3,BAJA
MADRID,ESPAÑA,2016-01-14,11,3,BAJA
PAMPLONA,ESPAÑA,2016-01-14,12,17,BAJA
MURCIA,ESPAÑA,2016-01-14,4,37,BAJA
SEVILLA,ESPAÑA,2016-01-14,7,4,BAJA
TENERIFE,ESPAÑA,2016-01-14,5,32,BAJA
TENERIFE,ESPAÑA,2016-01-14,13,19,BAJA
VIGO,ESPAÑA,2016-01-14,10,25,BAJA
VALLADOLID,ESPAÑA,2016-01-14,14,6,BAJA
ZARAGOZA,ESPAÑA,2016-01-14,2,38,BAJA
BILBAO,ESPAÑA,2016-01-14,4,7,BAJA
BARCELONA,ESPAÑA,2016-01-14,6,5,BAJA
GRANADA,ESPAÑA,2016-01-14,3,1,BAJA
CASABLANCA,MARRUECOS,2016-01-14,2,24,BAJA
OPORTO,PORTUGAL,2016-01-15,4,4,BAJA
LISBOA,PORTUGAL,2016-01-15,7,5,BAJA
VILA DO CORVO,PORTUGAL,2016-01-15,7,14,BAJA
IBIZA,ESPAÑA,2016-01-15,1,20,BAJA
MADRID,ESPAÑA,2016-01-15,6,19,BAJA
PAMPLONA,ESPAÑA,2016-01-15,6,11,BAJA
MURCIA,ESPAÑA,2016-01-15,14,30,BAJA
SEVILLA,ESPAÑA,2016-01-15,7,5,BAJA
TENERIFE,ESPAÑA,2016-01-15,6,23,BAJA
TENERIFE,ESPAÑA,2016-01-15,3,8,BAJA
VIGO,ESPAÑA,2016-01-15,7,12,BAJA
VALLADOLID,ESPAÑA,2016-01-15,0,4,BAJA
ZARAGOZA,ESPAÑA,2016-01-15,14,12,BAJA
BILBAO,ESPAÑA,2016-01-15,10,6,BAJA
BARCELONA,ESPAÑA,2016-01-15,12,7,BAJA
GRANADA,ESPAÑA,2016-01-15,10,1,BAJA
CASABLANCA,MARRUECOS,2016-01-15,4,27,BAJA
OPORTO,PORTUGAL,2016-01-16,12,35,BAJA
LISBOA,PORTUGAL,2016-01-16,10,35,BAJA
VILA DO CORVO,PORTUGAL,2016-01-16,9,11,BAJA
IBIZA,ESPAÑA,2016-01-16,13,9,BAJA
MADRID,ESPAÑA,2016-01-16,1,38,BAJA
PAMPLONA,ESPAÑA,2016-01-16,5,30,BAJA
MURCIA,ESPAÑA,2016-01-16,5,23,BAJA
SEVILLA,ESPAÑA,2016-01-16,3,9,BAJA
TENERIFE,ESPAÑA,2016-01-16,4,1,BAJA
TENERIFE,ESPAÑA,2016-01-16,11,6,BAJA
VIGO,ESPAÑA,2016-01-16,1,23,BAJA
VALLADOLID,ESPAÑA,2016-01-16,4,15,BAJA
ZARAGOZA,ESPAÑA,2016-01-16,2,2,BAJA
BILBAO,ESPAÑA,2016-01-16,7,0,BAJA
BARCELONA,ESPAÑA,2016-01-16,5,34,BAJA
GRANADA,ESPAÑA,2016-01-16,9,29,BAJA
CASABLANCA,MARRUECOS,2016-01-16,13,9,BAJA
OPORTO,PORTUGAL,2016-01-17,2,17,BAJA
LISBOA,PORTUGAL,2016-01-17,3,38,BAJA
VILA DO CORVO,PORTUGAL,2016-01-17,0,0,BAJA
IBIZA,ESPAÑA,2016-01-17,12,12,BAJA
MADRID,ESPAÑA,2016-01-17,0,33,BAJA
PAMPLONA,ESPAÑA,2016-01-17,11,1,BAJA
MURCIA,ESPAÑA,2016-01-17,6,11,BAJA
SEVILLA,ESPAÑA,2016-01-17,12,7,BAJA
TENERIFE,ESPAÑA,2016-01-17,8,30,BAJA
TENERIFE,ESPAÑA,2016-01-17,7,31,BAJA
VIGO,ESPAÑA,2016-01-17,1,7,BAJA
VALLADOLID,ESPAÑA,2016-01-17,10,5,BAJA
ZARAGOZA,ESPAÑA,2016-01-17,7,24,BAJA
BILBAO,ESPAÑA,2016-01-17,12,28,BAJA
BARCELONA,ESPAÑA,2016-01-17,8,28,BAJA
GRANADA,ESPAÑA,2016-01-17,8,3,BAJA
CASABLANCA,MARRUECOS,2016-01-17,8,38,BAJA
OPORTO,PORTUGAL,2016-01-18,10,19,BAJA
LISBOA,PORTUGAL,2016-01-18,3,30,BAJA
VILA DO CORVO,PORTUGAL,2016-01-18,6,25,BAJA
IBIZA,ESPAÑA,2016-01-18,0,11,BAJA
MADRID,ESPAÑA,2016-01-18,14,4,BAJA
PAMPLONA,ESPAÑA,2016-01-18,13,18,BAJA
MURCIA,ESPAÑA,2016-01-18,5,19,BAJA
SEVILLA,ESPAÑA,2016-01-18,1,8,BAJA
TENERIFE,ESPAÑA,2016-01-18,6,14,BAJA
TENERIFE,ESPAÑA,2016-01-18,8,3,BAJA
VIGO,ESPAÑA,2016-01-18,5,26,BAJA
VALLADOLID,ESPAÑA,2016-01-18,6,16,BAJA
ZARAGOZA,ESPAÑA,2016-01-18,10,21,BAJA
BILBAO,ESPAÑA,2016-01-18,4,22,BAJA
BARCELONA,ESPAÑA,2016-01-18,11,27,BAJA
GRANADA,ESPAÑA,2016-01-18,1,21,BAJA
CASABLANCA,MARRUECOS,2016-01-18,5,27,BAJA
OPORTO,PORTUGAL,2016-01-19,12,7,BAJA
LISBOA,PORTUGAL,2016-01-19,5,39,BAJA
VILA DO CORVO,PORTUGAL,2016-01-19,14,0,BAJA
IBIZA,ESPAÑA,2016-01-19,4,20,BAJA
MADRID,ESPAÑA,2016-01-19,8,34,BAJA
PAMPLONA,ESPAÑA,2016-01-19,5,12,BAJA
MURCIA,ESPAÑA,2016-01-19,6,30,BAJA
SEVILLA,ESPAÑA,2016-01-19,4,4,BAJA
TENERIFE,ESPAÑA,2016-01-19,14,7,BAJA
TENERIFE,ESPAÑA,2016-01-19,10,1,BAJA
VIGO,ESPAÑA,2016-01-19,2,2,BAJA
VALLADOLID,ESPAÑA,2016-01-19,12,27,BAJA
ZARAGOZA,ESPAÑA,2016-01-19,3,22,BAJA
BILBAO,ESPAÑA,2016-01-19,1,37,BAJA
BARCELONA,ESPAÑA,2016-01-19,4,7,BAJA
GRANADA,ESPAÑA,2016-01-19,5,9,BAJA
CASABLANCA,MARRUECOS,2016-01-19,14,27,BAJA
OPORTO,PORTUGAL,2016-01-20,14,33,BAJA
LISBOA,PORTUGAL,2016-01-20,8,28,BAJA
VILA DO CORVO,PORTUGAL,2016-01-20,5,31,BAJA
IBIZA,ESPAÑA,2016-01-20,14,23,BAJA
MADRID,ESPAÑA,2016-01-20,11,20,BAJA
PAMPLONA,ESPAÑA,2016-01-20,3,2,BAJA
MURCIA,ESPAÑA,2016-01-20,3,8,BAJA
SEVILLA,ESPAÑA,2016-01-20,14,12,BAJA
TENERIFE,ESPAÑA,2016-01-20,6,10,BAJA
TENERIFE,ESPAÑA,2016-01-20,2,37,BAJA
VIGO,ESPAÑA,2016-01-20,1,34,BAJA
VALLADOLID,ESPAÑA,2016-01-20,13,31,BAJA
ZARAGOZA,ESPAÑA,2016-01-20,6,32,BAJA
BILBAO,ESPAÑA,2016-01-20,4,5,BAJA
BARCELONA,ESPAÑA,2016-01-20,6,34,BAJA
GRANADA,ESPAÑA,2016-01-20,14,39,BAJA
CASABLANCA,MARRUECOS,2016-01-20,14,5,BAJA
OPORTO,PORTUGAL,2016-01-21,8,72,MUY BAJA
LISBOA,PORTUGAL,2016-01-21,14,75,MUY BAJA
VILA DO CORVO,PORTUGAL,2016-01-21,1,96,MUY BAJA
IBIZA,ESPAÑA,2016-01-21,0,52,MUY BAJA
MADRID,ESPAÑA,2016-01-21,9,86,MUY BAJA
PAMPLONA,ESPAÑA,2016-01-21,9,68,MUY BAJA
MURCIA,ESPAÑA,2016-01-21,4,84,MUY BAJA
SEVILLA,ESPAÑA,2016-01-21,3,99,MUY BAJA
TENERIFE,ESPAÑA,2016-01-21,9,70,MUY BAJA
TENERIFE,ESPAÑA,2016-01-21,9,77,MUY BAJA
VIGO,ESPAÑA,2016-01-21,7,85,MUY BAJA
VALLADOLID,ESPAÑA,2016-01-21,2,50,MUY BAJA
ZARAGOZA,ESPAÑA,2016-01-21,6,92,MUY BAJA
BILBAO,ESPAÑA,2016-01-21,4,87,MUY BAJA
BARCELONA,ESPAÑA,2016-01-21,10,66,MUY BAJA
GRANADA,ESPAÑA,2016-01-21,4,62,MUY BAJA
CASABLANCA,MARRUECOS,2016-01-21,0,92,MUY BAJA
OPORTO,PORTUGAL,2016-01-22,7,18,BAJA
LISBOA,PORTUGAL,2016-01-22,1,19,BAJA
VILA DO CORVO,PORTUGAL,2016-01-22,12,10,BAJA
IBIZA,ESPAÑA,2016-01-22,13,30,BAJA
MADRID,ESPAÑA,2016-01-22,8,18,BAJA
PAMPLONA,ESPAÑA,2016-01-22,0,26,BAJA
MURCIA,ESPAÑA,2016-01-22,3,26,BAJA
SEVILLA,ESPAÑA,2016-01-22,12,21,BAJA
TENERIFE,ESPAÑA,2016-01-22,10,23,BAJA
TENERIFE,ESPAÑA,2016-01-22,8,27,BAJA
VIGO,ESPAÑA,2016-01-22,14,23,BAJA
VALLADOLID,ESPAÑA,2016-01-22,14,21,BAJA
ZARAGOZA,ESPAÑA,2016-01-22,11,32,BAJA
BILBAO,ESPAÑA,2016-01-22,12,32,BAJA
BARCELONA,ESPAÑA,2016-01-22,6,33,BAJA
GRANADA,ESPAÑA,2016-01-22,5,24,BAJA
CASABLANCA,MARRUECOS,2016-01-22,0,15,BAJA
OPORTO,PORTUGAL,2016-01-23,8,19,BAJA
LISBOA,PORTUGAL,2016-01-23,12,27,BAJA
VILA DO CORVO,PORTUGAL,2016-01-23,12,37,BAJA
IBIZA,ESPAÑA,2016-01-23,8,1,BAJA
MADRID,ESPAÑA,2016-01-23,2,31,BAJA
PAMPLONA,ESPAÑA,2016-01-23,4,26,BAJA
MURCIA,ESPAÑA,2016-01-23,14,0,BAJA
SEVILLA,ESPAÑA,2016-01-23,8,27,BAJA
TENERIFE,ESPAÑA,2016-01-23,8,34,BAJA
TENERIFE,ESPAÑA,2016-01-23,5,15,BAJA
VIGO,ESPAÑA,2016-01-23,13,28,BAJA
VALLADOLID,ESPAÑA,2016-01-23,0,23,BAJA
ZARAGOZA,ESPAÑA,2016-01-23,13,9,BAJA
BILBAO,ESPAÑA,2016-01-23,5,5,BAJA
BARCELONA,ESPAÑA,2016-01-23,9,5,BAJA
GRANADA,ESPAÑA,2016-01-23,3,18,BAJA
CASABLANCA,MARRUECOS,2016-01-23,3,6,BAJA
OPORTO,PORTUGAL,2016-01-24,1,14,BAJA
LISBOA,PORTUGAL,2016-01-24,12,29,BAJA
VILA DO CORVO,PORTUGAL,2016-01-24,1,1,BAJA
IBIZA,ESPAÑA,2016-01-24,6,13,BAJA
MADRID,ESPAÑA,2016-01-24,7,39,BAJA
PAMPLONA,ESPAÑA,2016-01-24,0,21,BAJA
MURCIA,ESPAÑA,2016-01-24,2,8,BAJA
SEVILLA,ESPAÑA,2016-01-24,12,21,BAJA
TENERIFE,ESPAÑA,2016-01-24,13,2,BAJA
TENERIFE,ESPAÑA,2016-01-24,4,8,BAJA
VIGO,ESPAÑA,2016-01-24,9,39,BAJA
VALLADOLID,ESPAÑA,2016-01-24,13,34,BAJA
ZARAGOZA,ESPAÑA,2016-01-24,9,18,BAJA
BILBAO,ESPAÑA,2016-01-24,5,4,BAJA
BARCELONA,ESPAÑA,2016-01-24,12,35,BAJA
GRANADA,ESPAÑA,2016-01-24,3,12,BAJA
CASABLANCA,MARRUECOS,2016-01-24,8,22,BAJA
OPORTO,PORTUGAL,2016-01-25,6,24,BAJA
LISBOA,PORTUGAL,2016-01-25,1,0,BAJA
VILA DO CORVO,PORTUGAL,2016-01-25,14,37,BAJA
IBIZA,ESPAÑA,2016-01-25,8,1,BAJA
MADRID,ESPAÑA,2016-01-25,2,30,BAJA
PAMPLONA,ESPAÑA,2016-01-25,8,28,BAJA
MURCIA,ESPAÑA,2016-01-25,0,37,BAJA
SEVILLA,ESPAÑA,2016-01-25,4,16,BAJA
TENERIFE,ESPAÑA,2016-01-25,11,14,BAJA
TENERIFE,ESPAÑA,2016-01-25,8,35,BAJA
VIGO,ESPAÑA,2016-01-25,8,12,BAJA
VALLADOLID,ESPAÑA,2016-01-25,7,12,BAJA
ZARAGOZA,ESPAÑA,2016-01-25,4,24,BAJA
BILBAO,ESPAÑA,2016-01-25,3,3,BAJA
BARCELONA,ESPAÑA,2016-01-25,13,12,BAJA
GRANADA,ESPAÑA,2016-01-25,4,3,BAJA
CASABLANCA,MARRUECOS,2016-01-25,1,20,BAJA
OPORTO,PORTUGAL,2016-01-26,5,21,BAJA
LISBOA,PORTUGAL,2016-01-26,5,14,BAJA
VILA DO CORVO,PORTUGAL,2016-01-26,14,38,BAJA
IBIZA,ESPAÑA,2016-01-26,4,29,BAJA
MADRID,ESPAÑA,2016-01-26,6,29,BAJA
PAMPLONA,ESPAÑA,2016-01-26,0,20,BAJA
MURCIA,ESPAÑA,2016-01-26,5,3,BAJA
SEVILLA,ESPAÑA,2016-01-26,9,3,BAJA
TENERIFE,ESPAÑA,2016-01-26,4,3,BAJA
TENERIFE,ESPAÑA,2016-01-26,14,17,BAJA
VIGO,ESPAÑA,2016-01-26,12,4,BAJA
VALLADOLID,ESPAÑA,2016-01-26,5,28,BAJA
ZARAGOZA,ESPAÑA,2016-01-26,3,10,BAJA
BILBAO,ESPAÑA,2016-01-26,1,34,BAJA
BARCELONA,ESPAÑA,2016-01-26,7,6,BAJA
GRANADA,ESPAÑA,2016-01-26,0,24,BAJA
CASABLANCA,MARRUECOS,2016-01-26,3,31,BAJA
OPORTO,PORTUGAL,2016-01-27,1,31,BAJA
LISBOA,PORTUGAL,2016-01-27,10,25,BAJA
VILA DO CORVO,PORTUGAL,2016-01-27,7,25,BAJA
